,Name,Sell Price,Ingredient,Energy,Health,Stat Bonus,Source,# of Ingredients
0,Fried Egg,35,Egg,50,50,-,-,1
1,Omelet,125,"Egg, Milk",100,40,-,Cooking Channel,2
2,Salad,110,"Leek, Dandelion, Vinegar",113,45,-,-,3
3,Cheese Califlower,300,"Cauliflower, Cheese",138,55,-,-,2
4,Baked Fish,100,"Sunfish, Bream, Wheat Flour",75,30,-,Cooking Channel,3
5,Parsnip Soup,120,"Parsnip, Milk, Vinegar",85,34,-,-,3
6,Vegetable Stew,120,"Tomato, Beet",165,66,-,-,2
7,Complete Breakfast,350,"Fried Egg, Milk, Hashbrowns, Pancakes",200,80,"Farming+2, Max Energy +50",Cooking Channel,4
8,Fried Calamari,150,"Squid, Wheat Flour, Oil",80,32,-,Jodi - Mail,3
9,Strange Bun,175,"Wheat Flour, Periwinkle, Oak Resin",50,20,-,3+ Hearts Shane,3
10,Lucky Lunch,250,"Sea Cucumber, Tortilla, Blue Jazz",100,40,Luck+3,Cooking Channel,3
11,Fried Mushroom,200,"Common Mushroom, Morel, Oil",135,54,Comat+2,-,3
12,Pizza,300,"Wheat Flour, Tomato, Cheese",150,60,-,Cooking Channel,3
13,Bean Hotpot,100,Green Bean (2),125,50,Max Energy+2,-,1
14,Glazed Yams,200,"Yam, Sugar",200,80,-,Cooking Channel,2
15,Carp Surprise,150,Carp (4),90,36,-,Cooking Channel,1
16,Hashbrowns,120,"Potato, Oil",90,36,Farming+1,Cooking Channel,2
17,Pancakes,80,"Wheat Flour, Egg",90,36,Foraging+2,Cooking Channel,2
18,Salmon Dinner,300,"Salmon, Amarinth, Kale",125,50,-,-,3
19,Fish Taco,500,"Tuna, Tortilla, Red Cabbage, Mayonnaise",165,66,Fishing+2,-,4
20,Crispy Bass,150,"Largemouth Bass, Wheat Flour, Oil",90,36,Magnetism+64,-,3
21,Pepper Poppers,200,"Hot Pepper, Cheese",130,52,"Farming+2, Speed+1",3+ Hearts Shane,2
22,Bread,60,Wheat Flour,50,20,-,Cooking Channel,1
23,Trout Soup,100,"Rainbow Trout, Green Algae",100,40,Fishing+1,"Willy, Cooking Channel",2
24,Chocolate Cake,200,"Wheat Flour, Sugar, Egg",150,60,-,Cooking Channel,3
