,Name,Type,Normal Sell Price,Silver Sell Price,Gold Sell Price
0,Bream,Fish,45,56,67
2,Bullhead,Fish,75,93,112
3,Carp,Fish,30,37,45
5,Chub,Fish,50,62,75
6,Ghostfish,Fish,45,56,67
7,Ice Pip,Fish,500,625,750
8,Largemouth Bass,Fish,100,125,150
10,Lava Eel,Fish,700,875,1
11,Mutant Carp,Fish,1,1,1
12,Sandfish,Fish,75,93,112
13,Sardine,Fish,40,50,60
15,Scorpion Carp,Fish,150,187,225
18,Smallmouth Bass,Fish,50,62,75
19,Stonefish,Fish,300,375,450
32,Sunfish,Fish,30,37,45
33,Woodskip,Fish,75,93,112
34,Halibut,Fish,80,100,120
36,Crimsonfish,Fish,1,1,2
37,Dorado,Fish,100,125,150
38,Octopus,Fish,150,187,225
39,Pufferfish,Fish,200,250,300
40,Rainbow Trout,Fish,65,81,97
41,Shad,Fish,60,75,90
42,Super Cucumber,Fish,250,312,375
43,Tilapia,Fish,75,93,112
44,Red Snapper,Fish,50,62,75
45,Pike,Fish,100,125,150
46,Red Mullet,Fish,75,93,112
47,Sturgeon,Fish,200,250,300
48,Tuna,Fish,100,125,150
4,Blueberry,Crop,50,62,75
7,Corn,Crop,50,62,75
15,Hops,Crop,25,31,37
17,Melon,Crop,250,312,375
19,Poppy,Crop,140,175,210
22,Radish,Crop,90,112,135
23,Red Cabbage,Crop,260,325,390
25,Starfruit,Crop,750,937,1125
29,Tomato,Crop,60,75,90
31,Wheat,Crop,25,31,37
11,Spice Berry,Forage,80,100,120
12,Grape,Forage,80,100,120
13,Sweet Pea,Forage,50,62,75
14,Red Mushroom,Forage,75,93,112
16,Fiddlehead Fern,Forage,98,123,148
25,Nautilus Shell,Forage,120,150,180
26,Coral,Forage,80,100,120
27,Sea Urchin,Forage,160,200,240
28,Rainbow Shell,Forage,300,375,450
29,Clam,Forage,50,62,75
30,Mussel,Forage,30,38,45
31,Oyster,Forage,40,50,60
32,Purple Mushroom,Forage,250,312,375
33,Cave Carrot,Forage,25,31,38
34,Cactus Fruit,Forage,75,93,112
35,Coconut,Forage,100,125,150
