,Name,Type,Normal Sell Price,Silver Sell Price,Gold Sell Price
0,Bream,Fish,45,56,67
2,Bullhead,Fish,75,93,112
3,Carp,Fish,30,37,45
5,Chub,Fish,50,62,75
6,Ghostfish,Fish,45,56,67
7,Ice Pip,Fish,500,625,750
8,Largemouth Bass,Fish,100,125,150
10,Lava Eel,Fish,700,875,1
11,Mutant Carp,Fish,1,1,1
12,Sandfish,Fish,75,93,112
13,Sardine,Fish,40,50,60
15,Scorpion Carp,Fish,150,187,225
18,Smallmouth Bass,Fish,50,62,75
19,Stonefish,Fish,300,375,450
22,Albacore,Fish,75,93,112
23,Lingcod,Fish,120,150,180
24,Tiger Trout,Fish,150,187,225
25,Walleye,Fish,105,131,157
30,Catfish,Fish,200,250,300
34,Halibut,Fish,80,100,120
35,Herring,Fish,30,37,45
44,Red Snapper,Fish,50,62,75
45,Pike,Fish,100,125,150
46,Red Mullet,Fish,75,93,112
47,Sturgeon,Fish,200,250,300
48,Tuna,Fish,100,125,150
49,Glacierfish,Fish,1,1,1
50,Perch,Fish,55,68,82
51,Squid,Fish,80,100,120
21,Winter Root,Forage,70,87,105
22,Crystal Fruit,Forage,150,187,225
23,Snow Yam,Forage,100,125,150
24,Crocus,Forage,60,82,99
25,Nautilus Shell,Forage,120,150,180
26,Coral,Forage,80,100,120
27,Sea Urchin,Forage,160,200,240
28,Rainbow Shell,Forage,300,375,450
29,Clam,Forage,50,62,75
30,Mussel,Forage,30,38,45
31,Oyster,Forage,40,50,60
32,Purple Mushroom,Forage,250,312,375
33,Cave Carrot,Forage,25,31,38
34,Cactus Fruit,Forage,75,93,112
35,Coconut,Forage,100,125,150
36,Holly,Forage,80,100,120
