Keg,,,,,,,,Bee House,,,
Name,Sell Price,Sell Price,Sell Price,Ingredient,Time,,,Name,Sell Price,,
Beer,200G,-,-,Wheat,1 Day,,,Wild Honey,100G,,
Pale Ale,300G,-,-,Hops,1 Day,,,Tulip Honey,160G,,
Juice Formula,2.25 * Vegetable Value,,,Vegetable,4 Days,,,Blue Jazz Honey,200G,,
Wine Formula,3.00 * Fruit Value,,,Fruit,6 days,,,Spangle Honey,380G,,
,,,,,,,,Poppy Honey,380G,,
Cheese Press,,,,,,,,Fairy Rose Honey,680G,,
Name,Sell Price,Sell Price,Sell Price,Ingredient,Time,,,,,,
Cheese  ,100G,235G,150G,Milk / L. Milk,3.3 Hours,,,,,,
Goat Cheese,200G,250G,300G,Goat Milk / L. Goat Milk,3.2 Hours,,,,,,
,,,,,,,,,,,
Mayonaise Machine,,,,,,,,,,,
Name,Sell Price,Sell Price,Sell Price,Ingredient,Time,,,Loom,,,
Mayonnaise,100G,125G,150G,Chicken Egg,3 Hours,,,Name,Sell Price,Ingredient,Time
Duck Mayonnaise,200G,250G,300G,Duck Egg,3 Hours,,,Cloth,375G,Wool,? Hours
,,,,,,,,,,,
Oil Maker,,,,,,,,,,,
Name,Sell Price,Ingredient,Time,,,,,,,,
Truffle Oil,850G,Truffle,? Hours,,,,,Preserves Jar,,,
Oil  ,100G,Corn,2 Days,,,,,Name,Sell Price,Ingredient,Time
,,,,,,,,Pickles Formula,50g + 2 * Veg Val,Vegetable,80 Hours
Tapper,,,,,,,,Jelly Formula,50g + 2 * Fruit Val,Fruit,? Hours
Name,Sell Price,Ingredient,Time,,,,,,,,
Maple Syrup,200G,Maple Trees,7-8 Days,,,,,,,,
Oak Resin,150G,Oak Trees,6-7 Days,,,,,,,,
Pine Tar,100G,Pine Trees,4-5 Days,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pickles vs Juice,,Pickles,Juice,,,,,,,,
Enter Veg Value:,0,50G,0G,,,,,,,,
,,3.3 Days,4 Days,,,,,,,,
,,,,,,,,,,,
Jelly vs Wine,,Jelly,Wine,,,,,,,,
Enter Fruit Value:,20G,90G,60G,,,,,,,,
,,3.3 Days?,6 Days,,,,,,,,
