,Crafts Room - Bridge Repair,,,Pantry - Greenhouse,,,Fish Tank - Glittery Boulder Removed,,,Boiler Room - Minecarts Repaired,,,Bulletin Board - Friendship,,,Vault - Bus Repair,
,Spring Foraging Bundle,,,Spring Crops Bundle,,,River Fish Bundle,,,Blacksmith's Bundle,,,Chef's Bundle,,,"2,500 Bundle",
,Wild Horseradish,Leek,,Parsnip,Cauliflower,,Sunfish,Shad,,Copper Bar,Gold Bar,,Maple Syrup,Poppy,,"2,500G",
,Daffodil,Dandelion,,Green Bean,Potato,,Catfish,Tiger Trout,,Iron Bar,,,Fiddlehead Fern,Maki Roll,,Reward:,Chocolate Cake (3)
,Reward:,Spring Seeds (30),,Reward:,Speed-Gro (20),,Reward:,Bait (30),,Reward:,Furnace,,Truffle,Fried Egg,,"5,000 Bundle",
,Summer Foraging Bundle,,,Summer Crops Bundle,,,Lake Fish Bundle,,,Geologist's Bundle,,,Reward:,-,,"5,000G",
,Grape,Sweet Pea,,Tomato,Blueberry,,Largemouth Bass,Bullhead,,Quartz,Frozen Tear,,Dye Bundle,,,Reward:,Quality Fertilizer (30)
,Spice Berry,,,Hot Pepper,Melon,,Carp,Sturgeon,,Earth Crystal,Fire Quartz,,Red Mushroom,Duck Feather,,"10,000 Bundle",
,Reward:,Summer Seeds (30),,Reward:,Quality Sprinkler,,Reward:,Dressed Wpinner,,Reward:,Omni Geode (5),,Sea Urchin,Aquamarine,,"10,000G",
,Fall Foraging Bundle,,,Fall Crops Bundle,,,Ocean Fish Bundle,,,Adventurer's Bundle (2/4),,,Sunflower,Red Cabbage ,,Reward:,Lightning Rod
,Common Mushroom,Hazlenut,,Corn,Pumpkin,,Sardine,Red Snapper,,Slime (99),Solar Essence,,Reward:,Seed Maker,,"25,000 Bundle",
,Wild Plum,Blackberry,,Eggplant,Yam,,Tuna,Tilapia,,Bat Wing (10),Void Essence,,Field Research Bundle,,,"25,000G",
,Reward:,Fall Seeds (30),,Reward:,Bee House,,Reward:,Warp Totem: Beach (5),,Reward:,Small Magnet Ring,,Purple Mushroom,Chub,,Reward:,Crystalarium
,Winter Foraging Bundle,,,Quality Crops Bundle (3/4),,,Night Fishing Bundle,,,,,,Nautilus Shell,Frozen Geode,,,
,Winter Root,Snow Yam,,Parsnip (5),Pumpkin (5),,Walleye,Eel,,,,,Reward:,Recycling Machine,,,
,Crystal Fruit,Crocus,,Melon (5),Corn (5),,Bream,,,,,,Fodder Bundle,,,,
,Reward:,Winter Seeds (30),,Reward:,Preserves Jar,,Reward:,Small Glow Ring,,,,,Wheat (10),Apple (3),,,
,Construction Bundle,,,Animal Bundle (5/6),,,Specialty Fish Bundle,,,,,,Hay (10),,,,
,Wood (99),Stone (99),,Large Milk,L. Goat Milk,,Pufferfish,Sandfish,,,,,Reward:,Heater,,,
,Wood (99),Hardwood (10),,Large Egg (Brown),Wool,,Ghostfish,Woodskip,,,,,Enchanter's Bundle,,,,
,Reward:,Charcoal Kiln,,Large Egg (White),Duck Egg,,Reward:,Crab Pot (3),,,,,Oak Resin,Rabbits Foot,,,
,Exotic Foraging Bundle (5/9),,,Reward:,Cheese Press,,Crab Pot Bundle (5/10),,,,,,Wine,Pomegranate,,,
,Coconut,Maple Syrup,,Artisan Bundle (6/12),,,Crayfish,Snail,,,,,Reward:,Gold Bar (5),,,
,Cactus Fruit,Oak Resin,,Truffle Oil,Apple,,Lobster,Periwinkle,,,,,,,,,
,Cave Carrot,Pine Tar,,Cloth,Apricot,,Cockle,Crab,,,,,,,,,
,Red Mushroom,Morel,,Goat Cheese,Orange,,Shrimp,Oyster,,,,,,,,,
,Purple Mushroom,,,Cheese,Peach,,Mussel,Clam,,,,,,,,,
,Reward:,Autumn's Bounty (5),,Honey,Pomegranate,,Reward:,Dish O' The Sea (5),,,,,,,,,
,,,,Jelly,Cherry,,,,,,,,,,,,
,,,,Reward:,Keg,,,,,,,,,,,,
