Minerals,,,,,,,,,,
Cat.,Name,Sell Price,Sell Price,Sell Price,Location,Location,Location,Mine Lvl,Panning,Used In
Gem,Quartz,25G,31G,37G,Quartz,-,-,1+,No,"Geologist's Bundle, Refined Quartz"
Gem,Earth Crystal,50G,62G,75G,Earth Crystal,-,-,1-39,Yes,"Geologist's Bundle, Mayonnaise Machine, Sturdy Ring"
Gem,Frozen Tear,75G,93G,113G,Frozen Tear,-,-,40-79,Yes,"Geologist's Bundle, Warrior Ring"
Gem,Topaz,80G,-,-,Topaz Node,Gem Node,-,1+,Yes,
Gem,Amethyst,100G,-,-,Amethyst Node,Gem Node,-,1+,Yes,
Gem,Fire Quartz,100G,-,-,Fire Quarz,-,-,80+,Yes,"Geologist's Bundle, Slime Egg-Press"
Gem,Aquamarine,180G,-,-,Aquamarine Node,Gem Note,Fishing Chest,40+,Yes,Dye Bundle
Gem,Jade,200G,-,-,Jade Node,Gem Node,-,40+,Yes,
Gem,Emerald,250G,-,-,Emerald Node,Gem Node,-,80+,No,
Gem,Ruby,250G,-,-,Ruby Node,Gem Node,-,80+,Yes,
Gem,Diamond,750G,-,-,Diamond Node,Gem Node,-,50+,Yes,Ring of Yoba
Gem,Prismatic Shard,"2,000G",-,-,Iridium Node,Mystic Stone,Omni Geode,?,No,(Doesn't work with crystalarium)
Geode,Geode,-,-,-,-,-,-,1-39,No,
Geode,Frozen Geode,-,-,-,Fishing Chest,-,-,40-79,No,
Geode,Magma Geode,-,-,-,-,-,-,80-120,No,
Geode,Omni Geode,-,-,-,All Desert Mine,-,-,All,Yes,
Mineral,Limestone,15G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Mudstone,25G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Baryte,50G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Sandstone,60G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Calcite,75G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Granite,75G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Nekoite,80G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Orpiment,80G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Slate,85G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Esperite,100G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Malachite,100G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Thunder Egg,100G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Marble,110G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Jagoite,115G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Petrified Slime,120G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Pyrite,120G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Soapstone,120G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Aerinite,125G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Celestine,125G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Alamite,150G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Geminite,150G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Jamborite,150G,-,-,Geode,-,Omni Geode,-,No,
Mineral,Jasper,150G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Opal,150G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Hematite,150G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Basalt,175G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Fluorapatite,200G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Lunarite,200G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Lemon Stone,200G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Ghost Crystal,200G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Obsidian,200G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Ocean Stone,220G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Kyanite,250G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Fairy Stone,250G,-,-,-,Frozen Geode,Omni Geode,-,No,
Mineral,Tigerseye,275G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Bixite,300G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Dolomite,300G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Fire Opal,350G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Helvite,450G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Star Shards,500G,-,-,-,Magma Geode,Omni Geode,-,No,
Mineral,Neptunite,553G,-,-,-,Magma Geode,Omni Geode,-,No,
Ore,Copper Ore,5G,-,-,Mining,-,-,1+,Yes,
Ore,Iron Ore,10G,-,-,Mining,Most common:,70-72,40+,Yes,
Ore,Coal,15G,?,-,Mining,Most common:,60-90,1+,?,
Ore,Gold Ore,25G,-,-,Mining,Most common:,??-??,80+,Yes,
Ore,Iridium Ore,100G,-,-,"Meteor, Quarry",Magma Geode,Omni Geode,,?,Skull Cavern
Refined,Refined Quartz,50G,-,-,Smelting,Quartz (1),Coal (1),-,-,
Refined,Copper Bar,60G,-,-,Smelting,Copper Ore (5),Coal (1),-,-,
Refined,Iron Bar,120G,-,-,Smelting,Iron Ore (5),Coal (1),-,-,
Refined,Gold Bar,250G,-,-,Smelting,Gold Ore (5),Coal (1),-,-,
Refined,Iridium Bar,"1,000G",-,-,Smelting,Iridium Ore (5),Coal (1),-,-,
