Spring,,,,,,,,,,,,,,,,,,
Cat.,Plant,Seed Price,Sell Price,Sell Price,Sell Price,Preserve,Keg,Days,Yield,Profit,Profit/d,Reharvest,Profit/Season,Harvests,Profit/Season/d,Place,Continuous,Notes
Fruit,Cherry (Tree),"3,400G",80G,100G,120G,210G,240G,28,-,-,-,-,-,-,-,General Store,Yes,
Fruit,Apricot (Tree),"2,000G",50G,62G,75G,150G,150G,28,-,-,-,-,-,-,-,General Store,Yes,
Fruit,Ancient Fruit,0G,750G,937G,"1,125G","1,550G","2,250G",28,1,750G,-,8 Days,-,-,-,?,Yes,
Fruit,Strawberry,100G,120G,150G,180G,290G,360G,8,1,20G,2.50G,4 Days,500G,5,17.86G,Spring Egg Vestival,Yes,
Veg,Rhubarb,100G,220G,275G,330G,490G,495G,13,1,120G,9.23G,13 Days,240G,2,8.57G,Desert Store,No,
Veg,Potato,50G,80G,100G,120G,210G,180G,6,1.25,50G,8.33G,6 Days,200G,4,7.14G,General Store,No,Multiple per harvest
Veg,Cauliflower,80G,175G,218G,262G,400G,394G,12,1,95G,7.92G,12 Days,190G,2,6.79G,General Store,No,
Veg,Green Bean,60G,40G,50G,60G,130G,90G,10,1,-20G,-2.00G,3 Days,180G,6,6.43G,General Store,Yes,"Impassable, multiple yield"
Veg,Kale,70G,110G,137G,165G,270G,248G,6,1,40G,6.67G,6 Days,160G,4,5.71G,General Store,No,
Veg,Garlic,40G,60G,75G,90G,170G,135G,4,1,20G,5.00G,4 Days,120G,6,4.29G,General Store,No,
Veg,Parsnip,20G,35G,43G,52G,120G,79G,4,1,15G,3.75G,4 Days,90G,6,3.21G,General Store,No,
Flower,Blue Jazz,30G,50G,62G,75G,-,-,7,1,20G,2.86G,7 Days,60G,3,2.14G,General Store,No,
Flower,Tulip,20G,30G,37G,45G,-,-,6,1,10G,1.67G,6 Days,40G,4,1.43G,General Store,No,
