Key,,,Your Item Count,,,,,Item's Needed,,,,,Total Item Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,No More Items Needed,,Item,# Acquired,Item,# Acquired,,Item,# Needed,Item,# Needed,,Item,# Required,Item,# Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Amaranth,0,Milk,0,,Amaranth,1,Milk,12,,Amaranth,1,Milk,12,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Explanation,,,Any Fish,0,Morel,0,,Any Fish,2,Morel,1,,Any Fish,2,Morel,1,,2,,2,,,2,2,,2,,,2,,2,2,,,2,2,,2,,,2,2,,2,,2,2,2,2,2,2,,,,,2,2,2,,,2,2,2,,2,2,2,,2,,2,,2,,,,,,2,,2,2,,2,,2,2,,,2
"Total Item Count is the total amount of items needed to cook everything once. Cooked dishes required to cook other dishes have been ""converted"" into their ingredients",,,Apple,0,Mussel,0,,Apple,1,Mussel,1,,Apple,1,Mussel,1,,3,,,,,,,,,,,3,,3,3,,,3,3,,3,,,,3,,,,,3,,3,,,,,,,,,3,,,3,,,,3,3,,,3,,,,,,,,,,3,,3,3,,3,,3,,,,
,,,Apricot,0,Oil,0,,Apricot,1,Oil,12,,Apricot,1,Oil,12,,4,,,,,,,,,,,4,,4,,,,,,,4,,,,4,,,,,4,,4,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,,,
,,,Artichoke,0,Parsnip,0,,Artichoke,2,Parsnip,2,,Artichoke,2,Parsnip,2,,5,,,,,,,,,,,,,5,,,,,,,,,,,5,,,,,5,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,5,,5,5,,,,5,,,,
,,,Blackberry,0,Periwinkle,0,,Blackberry,2,Periwinkle,2,,Blackberry,2,Periwinkle,2,,6,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,6,,6,6,,,,6,,,,
,,,Blue Jazz,0,Poppy,0,,Blue Jazz,1,Poppy,1,,Blue Jazz,1,Poppy,1,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,
,,,Blueberry,0,Potato,0,,Blueberry,2,Potato,3,,Blueberry,2,Potato,3,,8,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,8,,,,,,,8,,,,
Explanation,,,Bok Choy,0,Pumpkin,0,,Bok Choy,1,Pumpkin,3,,Bok Choy,1,Pumpkin,3,,9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,9,,,,,,,9,,,,
Your Item Count is where you enter what items you have,,,Bream,0,Radish,0,,Bream,1,Radish,2,,Bream,1,Radish,2,,10,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,,,10,,,,,,,10,,,,
,,,Carp,0,Rainbow Trout,0,,Carp,4,Rainbow Trout,1,,Carp,4,Rainbow Trout,1,,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,11,,,,,,,,,,,,,,,,,,11,,,,,,,11,,,,
,,,Cauliflower,0,Red Cabbage,0,,Cauliflower,1,Red Cabbage,3,,Cauliflower,1,Red Cabbage,3,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,12,,,,,,,,,,,,,,,,,,12,,,,,,,12,,,,
Explanation,,,Cave Carrot,0,Rhubarb,0,,Cave Carrot,5,Rhubarb,1,,Cave Carrot,5,Rhubarb,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,13,,,,
Item's Needed gives you the number of additional items you need,,,Cheese,0,Rice,0,,Cheese,3,Rice,2,,Cheese,3,Rice,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,14,,,,
,,,Clam,0,Salmon,0,,Clam,1,Salmon,1,,Clam,1,Salmon,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,15,,,,
,,,Coconut,0,Sardine,0,,Coconut,1,Sardine,2,,Coconut,1,Sardine,2,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,16,,,,
,,,Common Mushroom,0,Sea Cucumber,0,,Common Mushroom,3,Sea Cucumber,1,,Common Mushroom,3,Sea Cucumber,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
,,,Corn,0,Seaweed,0,,Corn,3,Seaweed,1,,Corn,3,Seaweed,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,
,,,Crab,0,Shrimp,0,,Crab,1,Shrimp,1,,Crab,1,Shrimp,1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,
,,,Cranberries,0,Snail,0,,Cranberries,4,Snail,1,,Cranberries,4,Snail,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,
,,,Crayfish,0,Squid,0,,Crayfish,1,Squid,1,,Crayfish,1,Squid,1,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,
,,,Dandelion,0,Sugar,0,,Dandelion,1,Sugar,16,,Dandelion,1,Sugar,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,
,,,Eel,0,Sunfish,0,,Eel,2,Sunfish,1,,Eel,2,Sunfish,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,
,,,Egg,0,Tomato,0,,Egg,11,Tomato,6,,Egg,11,Tomato,6,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beet,0,Tomato,0,,Beet,1,Tomato,6,,Beet,1,Tomato,6,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eggplant,0,Tuna,0,,Eggplant,2,Tuna,1,,Eggplant,2,Tuna,1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fiddlehead Fern,0,Vinegar,0,,Fiddlehead Fern,1,Vinegar,4,,Fiddlehead Fern,1,Vinegar,4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
