Fish,Caught,Key,,,Spring,,,,,,Summer,,,,,,Any Season,,,,
Albacore,,Blue,Bundle,,Fish,Rain,Location,Time,Caught,,Fish,Rain,Location,Time,Caught,,Fish,Rain,Location,Time,Caught
Anchovy,,Green,Yes,,Legend,Yes,,Anytime,No,,Crimsonfish,No,,Anytime,No,,Slimejack,No,Bug Lair,Anytime,No
Bream,,Red,No,,Anchovy,No,Ocean,Anytime,No,,Sturgeon,No,Mountain Lake,6am - 7pm,No,,Lava Eel,No,Mines F100,Anytime,No
Bullhead,,Purple,Special Time,,Eel,Yes,Ocean,4pm - 2am,No,,Halibut,No,Ocean,6am - 11am,No,,Ghostfish,No,Mines F20,Anytime,No
Carp,,Gold,Legend,,Halibut,No,Ocean,6am - 11am,No,,Octopus,No,Ocean,6am - 1pm,No,,Stonefish,No,Mines F20,Anytime,No
Catfish,,,,,Herring,No,Ocean,Anytime,No,,Pufferfish,No,Ocean,12pm - 4pm,No,,Ice Pip,No,Mines F60,Anytime,No
Chub,,Fish,Caught,,Sardine,No,Ocean,6am - 7pm,No,,Red Mullet,No,Ocean,6am - 7pm,No,,Bullhead,No,Mountain Lake,Anytime,No
Dorado,,Sunfish,,,Catfish,Yes,River,Anytime,No,,Red Snapper,Yes,Ocean,6am - 7pm,No,,Carp,No,Mountain Lake,Anytime,No
Eel,,Super Cucumber,,,Shad,Yes,River,9am - 2am,No,,Super Cucumber,No,Ocean,6pm - 2am,No,,Largemouth Bass,No,Mountain Lake,6pm - 7pm,No
Ghostfish,,Tiger Trout,,,Smallmouth Bass,No,River (Town),Anytime,No,,Tilapia,No,Ocean,6am - 2pm,No,,Chub,No,River (Forest),Anytime,No
Halibut,,Tilapia,,,Sunfish,No,River,6am - 7pm,No,,Tuna,No,Ocean,6am - 7pm,No,,Bream,No,River,6pm - 2am,No
Herring,,Tuna,,,,,,,,,Catfish,Yes,River,Anytime,No,,Woodskip,No,Secret Woods,Anytime,No
Ice Pip,,Void Salmon,,,,,,,,,Dorado,No,River (Forest),6am - 7pm,No,,Sandfish,No,The Desert,6am - 8pm,No
Largemouth Bass,,Walleye ,,,,,,,,,Pike,No,River,Anytime,No,,Scorpion Carp,No,The Desert,6am - 10pm,No
Lava Eel,,Woodskip,,,,,,,,,Rainbow Trout,No,River,6am - 7pm,No,,Void Salmon,No,Witch's Swamp,Anytime,No
Lingcod,,Midnight Squid,,,,,,,,,Sunfish,No,River,9am - 2am,No,,,,,,
Octopus,,Spook Fish,,,Winter,,,,,,,,,,,,Midnight Fish,,,,
Perch,,Blobfish,,,Fish,Rain,Location,Time,Caught,,Fall,,,,,,Fish,Rain,Location,Time,Caught
Pike,,Crimsonfish,,,Glacier Fish,No,,Anytime,No,,Fish,Rain,Location,Time,Caught,,Midnight Squid,No,Submarine,,No
Pufferfish,,Angler,,,Sturgeon,No,Mountain Lake,6am - 7pm,No,,Angler,No,,Anytime,No,,Spook Fish,No,Submarine,,No
Rainbow Trout,,Legend,,,Albacore,No,Ocean,6pm - 2am,No,,Albacore,No,Ocean,6pm - 2am,No,,Blob Fish,No,Submarine,,No
Red Mullet,,Glacierfish,,,Halibut,No,Ocean,6am - 11am,No,,Anchovy,No,Ocean,Anytime,No,,,,,,
Red Snapper,,Mutant Carp,,,Herring,No,Ocean,Anytime,No,,Eel,Yes,Ocean,4pm - 2am,No,,Crab Pot Fish,,,,
Salmon,,Clam,,,Red Mullet,No,Ocean,6am - 7pm,No,,Red Snapper,Yes,Ocean,6am - 7pm,No,,Crayfish,No,Freshwater,,No
Sandfish,,Cockle,,,Red Snapper,Yes,Ocean,6am - 7pm,No,,Sardine,No,Ocean,6am - 7pm,No,,Periwinkle,No,Freshwater,,No
Sardine,,Crab,,,Sardine,No,Ocean,6am - 7pm,No,,Sea Cucumber,No,Ocean,6am - 7pm,No,,Snail,No,Freshwater,,No
Scorpion Carp,,Crayfish,,,Sea Cucumber,No,Ocean,6pm - 2am,No,,Super Cucumber,No,Ocean,6pm - 2am,No,,Clam,No,Ocean,,No
Sea Cucumber,,Lobster,,,Squid,No,Ocean,6pm - 2am,No,,Tilapia,No,Ocean,6am - 2pm,No,,Cockle,No,Ocean,,No
Shad,,Mussel,,,Tuna,No,Ocean,6am - 7pm,No,,Catfish,Yes,River,Anytime,No,,Crab,No,Ocean,,No
Slimejack,,Oyster,,,Lingcod,No,River,Anytime,No,,Salmon,No,River,6am - 7pm,No,,Lobster,No,Ocean,,No
Smallmouth Bass,,Periwinkle,,,Perch,No,River,Anytime,No,,Shad,Yes,River,9am - 2am,No,,Mussel,No,Ocean,,No
Squid,,Shrimp,,,Pike,No,River,Anytime,No,,Smallmouth Bass,No,River (Town),Anytime,No,,Oyster,No,Ocean,,No
Stonefish,,Snail,,,Tiger Trout,No,River,6am - 7pm,No,,Tiger Trout,No,River,6am - 7pm,No,,Shrimp,No,Ocean,,No
Sturgeon,,Total Count,0,,Walleye,Yes,River,12pm - 2am,No,,Walleye,Yes,River,12pm - 2am,No,,,,,,
