Key,,,Spring,,,,,,,Fall,,,,,
Green,Vegetable,,Crop,Base Price,Jar,Keg,Difference,% Difference,,Crop,Base Price,Jar,Keg,Difference,% Difference
Red,Fruit,,Ancient Fruit,550 Gold,1150 Gold,1650 Gold,500 Gold,43.48%,,Amaranth,150 Gold,350 Gold,338 Gold,12 Gold,3.56%
Gold,Most Profitable,,Apricot,50 Gold,150 Gold,150 Gold,0 Gold,0.00%,,Ancient Fruit,550 Gold,1150 Gold,1650 Gold,500 Gold,43.48%
,,,Cauliflower,175 Gold,400 Gold,394 Gold,6 Gold,1.52%,,Apple,100 Gold,250 Gold,300 Gold,50 Gold,20.00%
Assumptions,,,Cherry,80 Gold,210 Gold,240 Gold,30 Gold,14.29%,,Artichoke,160 Gold,370 Gold,360 Gold,10 Gold,2.78%
Fruits and Vegetables have different multipliers in kegs. Vegetables get a 2.25x multiplier and fruits get a 3x multiplier. Artisan profession is not accounted for. Just multiply numbers by 1.5 to get artisan profits. The % Difference is the % of lost profit if the less profitable option is chosen (not exactly a % difference). For ties the jar is chosen as it works faster,,,Garlic,60 Gold,170 Gold,135 Gold,35 Gold,25.93%,,Beet,100 Gold,250 Gold,225 Gold,25 Gold,11.11%
,,,Green Bean,40 Gold,130 Gold,90 Gold,40 Gold,44.44%,,Blackberry,20 Gold,90 Gold,45 Gold,45 Gold,100.00%
,,,Kale,110 Gold,270 Gold,248 Gold,22 Gold,8.89%,,Bok Choy,80 Gold,210 Gold,180 Gold,30 Gold,16.67%
,,,Parsnip,35 Gold,120 Gold,79 Gold,41 Gold,52.06%,,Corn,50 Gold,150 Gold,113 Gold,37 Gold,32.89%
,,,Potato,80 Gold,210 Gold,180 Gold,30 Gold,16.67%,,Cranberries,75 Gold,200 Gold,225 Gold,25 Gold,12.50%
,,,Rhubarb,220 Gold,490 Gold,660 Gold,170 Gold,34.69%,,Eggplant,60 Gold,170 Gold,135 Gold,35 Gold,25.93%
,,,Salmonberry,5 Gold,60 Gold,15 Gold,45 Gold,300.00%,,Grape,80 Gold,210 Gold,240 Gold,30 Gold,14.29%
,,,Strawberry,120 Gold,290 Gold,360 Gold,70 Gold,24.14%,,Pomegranate,140 Gold,330 Gold,420 Gold,90 Gold,27.27%
,,,,,,,,,,Pumpkin,320 Gold,690 Gold,720 Gold,30 Gold,4.35%
,,,Summer,,,,,,,Wild Plum,80 Gold,210 Gold,180 Gold,30 Gold,16.67%
,,,Crop,Base Price,Jar,Keg,Difference,% Difference,,Yam,160 Gold,370 Gold,360 Gold,10 Gold,2.78%
,,,Ancient Fruit,550 Gold,1150 Gold,1650 Gold,500 Gold,43.48%,,,,,,,
,,,Blueberry,50 Gold,150 Gold,150 Gold,0 Gold,0.00%,,Winter Forageables,,,,,
,,,Corn,50 Gold,150 Gold,113 Gold,37 Gold,32.89%,,Crop,Base Price,Jar,Keg,Difference,% Difference
,,,Fiddlehead Fern,90 Gold,230 Gold,203 Gold,27 Gold,13.33%,,Crystal Fruit,150 Gold,350 Gold,450 Gold,100 Gold,28.57%
,,,Grape,80 Gold,210 Gold,240 Gold,30 Gold,14.29%,,,,,,,
,,,Hot Pepper,40 Gold,130 Gold,90 Gold,40 Gold,44.44%,,Special Crops,,,,,
,,,Melon,250 Gold,550 Gold,750 Gold,200 Gold,36.36%,,Crop,Base Price,Jar,Keg,Difference,% Difference
,,,Orange,100 Gold,250 Gold,300 Gold,50 Gold,20.00%,,Cactus Fruit,75 Gold,200 Gold,225 Gold,25 Gold,12.50%
,,,Peach,140 Gold,330 Gold,420 Gold,90 Gold,27.27%,,Coconut,100 Gold,250 Gold,300 Gold,50 Gold,20.00%
,,,Radish,90 Gold,230 Gold,203 Gold,27 Gold,13.33%,,,,,,,
,,,Red Cabbage,260 Gold,570 Gold,585 Gold,15 Gold,2.63%,,Special Cases,,,,,
,,,Spice Berry,80 Gold,210 Gold,240 Gold,30 Gold,14.29%,,Crop,Base Price,Jar,Keg,Difference,% Difference
,,,Starfruit,750 Gold,1550 Gold,2250 Gold,700 Gold,45.16%,,Coffee Bean,15 Gold,,150 Gold,,
,,,Tomato,60 Gold,170 Gold,135 Gold,35 Gold,25.93%,,Hop,25 Gold,100 Gold,300 Gold,200 Gold,200.00%
,,,,,,,,,,Wheat,25 Gold,100 Gold,200 Gold,100 Gold,100.00%
