Explanation,,Item,Location,Acquired,,Item,Location,Acquired
All Crops have been left off of the list as they are in the crops tab,,Apple,Apple Tree,No,,Jelly,Preserve Jar,No
,,Apricot,Apricot Tree,No,,Juice,Keg,No
,,Bat Wing,Mines,No,,Large Egg (Brown),White Chickens,No
,,Battery Pack,Lightning Rod,No,,Large Egg (White),White Chickens,No
,,Beer,Keg,No,,Large Goat Milk,Goats,No
,,Blackberry,Fall Forage,No,,Large Milk,Cows,No
,,Bug Meat,Mines,No,,Leek,Spring Forage,No
,,Cactus Fruit,Desert Forage,No,,Maple Syrup,Maple Tree,No
,,Cave Carrot,Mines,No,,Mayonnaise,Mayonnaise Machine,No
,,Chanterelle,Fall Forage,No,,Mead,Keg,No
,,Cheese,Cheese Press,No,,Milk,Cows,No
,,Cherry,Cherry Tree,No,,Morel,Fall Forage,No
,,Clam,Beach,No,,Nautilus Shell,Winter Forage,No
,,Clay,Till Soil,No,,Oak Resin,Oak Tree,No
,,Cloth,Loom,No,,Orange,Orange Tree,No
,,Coal,Mines/Charcoal Kiln,No,,Pale Ale,Keg,No
,,Coconut,Desert Forage,No,,Peach,Peach Tree,No
,,Coffee Bean,Traveling Merchant,No,,Pickles,Preserve Jar,No
,,Common Mushroom,Fall Forage,No,,Pine Tar,Pine Tree,No
,,Copper Bar,Furnace,No,,Pomegrannate,Pomegrannate Tree,No
,,Copper Ore,Mines,No,,Purple Mushroom,Mines,No
,,Coral,Beach Forage,No,,Rabbit's Foot,Rabbits,No
,,Crocus,Winter Forage,No,,Rainbow Shell,Beach Forage,No
,,Crystal Fruit,Winter Forage,No,,Red Mushroom,Mines,No
,,Daffodil,Spring Forage,No,,Refined Quartz,Furnace,No
,,Dandelion,Spring Forage,No,,Sap,Chop Trees,No
,,Duck Egg,Ducks,No,,Sea Urchin,Beach Forage,No
,,Duck Feather,Ducks,No,,Slime,Mines,No
,,Duck Mayonnaise,Mayonnaise Machine,No,,Snow Yam,Winter Forage,No
,,Egg (Brown),Brown Chickens,No,,Solar Essence,Mines,No
,,Egg (White),Brown Chickens,No,,Spice Berry,Summer Forage,No
,,Fiber,Scythe Grass,No,,Spring Onion,Spring Forage,No
,,Fiddlehead Fern,Forage Secret Woods,No,,Stone,Rocks,No
,,Goat Cheese,Cheese Press,No,,Sweet Pea,Summer Forage,No
,,Goat Milk,Goats,No,,Truffle,Pigs,No
,,Gold Bar,Furnace,No,,Truffle Oil,Oil Machine,No
,,Gold Ore,Mines,No,,Void Egg,Void Chicken,No
,,Hardwood,Secret Woods,No,,Void Essence,Mines,No
,,Hazelnut,Fall Forage,No,,Void Mayonnaise,Mayonnaise Machine,No
,,Holly,Winter Forage,No,,Wild Horseradish,Spring Forage,No
,,Honey,Bee House,No,,Wild Plum,Fall Forage,No
,,Iridium Bar,Furance,No,,Wine,Keg,No
,,Iridium Ore,Mines,No,,Winter Root,Winter Forage,No
,,Iron Bar,Furance,No,,Wood,Chop Trees,No
,,Iron Ore,Mines,No,,Wool,Sheep,No
