Crop Name,Buy Price,Sell Price,Maturity Time,Regrowth Time
Blue Jazz,30,50,7,x
Cauliflower,80,175,12,x
Coffee Bean*,2500,60,10,2
Garlic,40,60,4,x
Green Bean,60,40,10,3
Kale,70,110,6,x
Parsnip,20,35,4,x
Potato*,50,96,6,x
Rhubarb,100,220,13,x
Strawberry,100,120,8,4
Tulip,20,30,6,x
Blueberry*,80,151,13,4
Corn,150,50,14,4
Hops,60,25,11,1
Hot Pepper,40,40,5,3
Melon,80,250,12,x
Poppy,100,140,7,x
Radish,40,90,6,x
Red Cabbage,100,260,9,x
Starfruit,400,750,13,x
Summer Spangle,50,90,8,x
Sunflower,200,80,8,8
Tomato,50,60,11,4
Wheat,10,25,4,x
Amaranth,70,150,7,x
Artichoke,30,160,8,x
Beet,20,100,6,x
Bok Choy,50,80,4,x
Cranberries*,240,150,7,5
Eggplant,20,60,5,5
Fairy Rose,200,290,12,x
Grape,60,80,10,3
Pumpkin,100,320,13,x
Yam,60,160,10,x
