,PANTRY,,,,,CRAFTS ROOM,,,,,FISH TANK,,,,,BULLETIN BOARD,,,,,VAULT,,,,,BOILER ROOM,,,
,Reward: Greenhouse,,,FALSE,,Reward: Bridge repair (Quarry),,,FALSE,,Reward: Glittering boulder removed,,,FALSE,,Reward: Friendship,,,FALSE,,Reward: Bus repaired / Calico Desert,,,FALSE,,Reward: Minecarts,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CHEF (Gus),,,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,,Name,,Source,Complete,,"2,500",,,FALSE,,,,,
,,,,,,,,,,,,,,,,,Maple Syrup,Tapped Maple Tree,FALSE,,Name,,Source,Complete,,BLACKSMITH,,,FALSE
,SPRING CROPS,,,FALSE,,,,,,,,,,,,,Fiddlehead Fern,Summer Foraging in Secret Woods,FALSE,,,"2,500g",Purchase,FALSE,,Name,,Source,Complete
,Name,,Source,Complete,,,,,,,RIVER FISH,,,FALSE,,,Truffle,Pigs,FALSE,,Reward: Chocolate Cake (3),,,,,,Copper bar,Smelting Copper ore in the Furnace,FALSE
,,Parsnip,Spring crops,FALSE,,,,,,,Name,,Source,Complete,,,Poppy,Summer crops,FALSE,,"5,000",,,FALSE,,,Iron bar,"Smelting Iron ore in the Furance, crafting the ""Transmute (Fe)"" recipe",FALSE
,,Green bean,Spring crops,FALSE,,SPRING FORAGING,,,FALSE,,,Sunfish,"Rivers, 6am - 7pm, Spring and summer, Sun",FALSE,,,Maki Roll,"Cooking (QOTS 21 Summer, Year 1; Stardrop Saloon 1500g)",FALSE,,Name,,Source,Complete,,,Gold bar,"Smelting Gold ore in the Furnace, crafting the ""Transmute (Au)"" recipe",FALSE
,,Cauliflower,Spring crops,FALSE,,Name,,Source,Complete,,,Catfish,"Rivers and Secret Woods Pond, anytime, Spring and Fall, Rain",FALSE,,,Fried Egg,Cooking (upgraded farmhouse),FALSE,,,"5,000g",Purchase,FALSE,,Reward: Furnace (1),,,
