COOKING COLLECTION,,,,,,,,,,,,,,,,,,,
Fried Egg,,Omelet,,Salad,,Cheese cauliflower,,Baked fish,,Parsnip soup,,Vegetable medley,,Complete breakfast,,Fried calamari,,Strange bun,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Lucky lunch,,Fried mushroom,,Pizza,,Bean hotpot,,Glazed yams,,Carp surprise,,Hashbrowns,,Pancakes,,Salmon dinner,,Fish taco,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Crispy bass,,Pepper poppers,,Bread,,Tom Kha Soup,,Trout soup,,Chocolate cake,,Pink cake,,Rhubarb pie,,Cookie,,Spaghetti,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Fried Eel,,Spicy eel,,Sashimi,,Maki roll,,Tortilla,,Red plate,,Eggplant parmesan,,Rice pudding,,Ice cream,,Blueberry tart,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,,,,,,,,,,,,,,,,,
Autumn's Bounty,,Pumpkin soup,,Super meal,,Cranberry sauce,,Stuffing,,Farmer's lunch,,Survival burger,,Dish o' the sea,,Miner's treat,,Roots platter,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Algae soup,,Pale broth,,Plum pudding,,Artichoke dip,,Stir fry,,Roasted hazelnuts,,Pumpkin pie,,Radish salad,,Fruit salad,,Blackberry cobbler,
,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Cranberry candy,,Bruschetta,,Coleslaw,,Fiddlehead risotto,,Poppyseed muffin,,Chowder,,Lobster bisque,,Fish stew,,Escargot,,Maple bar,
,FALSE,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
Crab cakes,,,,,,,,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CROPS,,,,,,,FORAGED GOODS,,,,,,,FISH,,,,,
FALSE,1,,Amaranth,,,,FALSE,2,,Blackberry,,,,FALSE,1,,Bream,,
FALSE,2,,Artichoke,,,,FALSE,5,,Cave carrot,,,,FALSE,4,,Carp,,
FALSE,1,,Beet,,,,FALSE,3,,Common mushroom,,,,FALSE,2,,Eel,,
FALSE,1,,Blue jazz,,,,FALSE,1,,Dandelion,,,,FALSE,2,,Fish (any),,
FALSE,2,,Blueberry,,,,FALSE,1,,Coconut,,,,FALSE,5,,Green algae,,
FALSE,1,,Bok choy,,,,FALSE,1,,Fiddlehead fern,,,,FALSE,1,,Largemouth bass,,
FALSE,1,,Cauliflower,,,,FALSE,4,,Hazelnut,,,,FALSE,1,,Rainbow trout,,
FALSE,2,,Corn,,,,FALSE,1,,Leek,,,,FALSE,1,,Salmon,,
FALSE,4,,Cranberries,,,,FALSE,1,,Morel,,,,FALSE,2,,Sardine,,
FALSE,2,,Eggplant,,,,FALSE,2,,Wild plum,,,,FALSE,1,,Sea cucumber,,
FALSE,2,,Garlic,,,,FALSE,1,,Winter root,,,,FALSE,1,,Seaweed,,
FALSE,2,,Green bean,,,,,,,,,,,FALSE,1,,Squid,,
FALSE,2,,Hot pepper,,,,GENERAL STORE,,,,,,,FALSE,1,,Sunfish,,
FALSE,2,,Kale,,,,FALSE,10,,Oil (2200g),,,,FALSE,1,,Tuna,,
FALSE,2,,Melon,,,,FALSE,2,,Rice (400g),,,,FALSE,2,,White algae,,
FALSE,2,,Parsnip,,,,FALSE,16,,Sugar (1600g),,,,,,,,,
FALSE,1,,Poppy,,,,FALSE,4,,Vinegar (800g),,,,CRAB POT,,,,,
FALSE,2,,Potato,,,,FALSE,21,,Wheat flour (2100g),,,,FALSE,1,,Lobster,,
FALSE,3,,Pumpkin,,,,,,,,,,,FALSE,1,,Clam,,
FALSE,2,,Radish,,,,INGREDIENT DISHES,,,,,,,FALSE,1,,Crayfish,,
FALSE,3,,Red cabbage,,,,FALSE,3,,Bread,,,,FALSE,1,,Crab,,
FALSE,1,,Rhubarb,,,,FALSE,1,,Fried egg,,,,FALSE,1,,Mussel,,
FALSE,6,,Tomato,,,,FALSE,2,,Hashbrowns,,,,FALSE,1,,Shrimp,,
FALSE,2,,Yam,,,,FALSE,1,,Omelet,,,,FALSE,1,,Snail,,
,,,,,,,FALSE,1,,Pancakes,,,,FALSE,2,,Periwinkle,,
ANIMAL PRODUCTS,,,,,,,FALSE,2,,Tortilla,,,,,,,,,
FALSE,8,,Egg,,,,,,,,,,,TREE FRUIT,,,,,
FALSE,11,,Milk,,,,ARTISAN GOODS,,,,,,,FALSE,1,,Apple,,
,,,,,,,FALSE,3,,Cheese,,,,FALSE,1,,Apricot,,
TREE SYRUP,,,,,,,FALSE,2,,Mayonnaise,,,,,,,,,
FALSE,1,,Maple syrup,,,,FALSE,1,,Void Mayonnaise,,,,,,,,,
