,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Easiest love,,,,Easiest like,,,,
,,,,,,,,2,Penny,,"Melon, poppy",,,,"Milk, dandelion, leek, vegetables",,,,
,,,,,,,,5,Elliott,,"Duck feather, lobster, pomegranate",,,,"Spice berry, sweet pea, grape, vegetables, artisan goods",,,,
,,,,,,,,11,Jodi,,"Chocolate cake, eggplant parmesan, vegetable medley",,,,"All eggs (not void), fruit (not spice berry), all milk",,,,
,,,,,,,,13,Abigail,,"Pumpkin (if planted day 1), pufferfish, Amethyst",,,,"Quartz, Artisan goods",,,,
,,,,,,,,15,Sandy,,"Daffodil, crocus, sweet pea",,,,"All fruit (inc. salmonberry), goat milk, wool",,,,
,,,,,,,,18,Marnie,,"Farmer's lunch, pink cake, pumpkin pie",,,,"Eggs (not void), milk, vegetables, artisan goods, fruit tree fruits",,,,
,,,,,,,,21,Robin,,"Goat cheese, peach",,,,"All fruit (inc. salmonberry), all milk, quartz",,,,
,,,,,,,,24,George,,Leek,,,,"Daffodil, vegetables, artisan goods",,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Time,Location,Notes,,,,,,Money needed
,,,,,,,,16,SV Fair,,9am - 3pm,Pelican Town,Need max 3400 tokens (1400 after Stardrop); Always bet green; Grange display contest,,,,,,n/a
,,,,,,,,27,Spirit's Eve,,10pm - 11:50,Pelican Town,"Maze for golden pumpkin, stick to the left",,,,,,"8,100"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CROPS,,,,,,,,,,,,,,,,,,,
,Crop,Seed price,Days to grow,Sells for,Tiller profession,Profit/day (base),Keg,Artisan,Jar,Artisan,# for recipes,# for crafting,Polyculture,# for bundles,Total # needed,Total cost,Other needs,Loves,Likes
,Amaranth,70,7,"150, 187, 225","165, 206, 247",11.43,337,471,350,490,1,0,15,0,17,1190,"Marnie ""Cow's delight"" 3 fall",-,"NOT Elliott, Caroline, Abigail, Haley, Jas, Sam, Vincent"
,Artichoke,30 (year 2),8,"160, 200, 240","176, 220, 264",16.25,360,504,370,518,2,0,15,0,17+,510,Help wanted,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Beet,20 (oasis),6,"100, 125, 150","110, 137, 165",13.33,225,315,250,350,6,0,15,0,31+,620,"""The mysterious Qi"", second part needs 10",Evelyn,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Bok Choy,50,4,"80, 100, 120","88, 110, 132",7.5,180,252,210,294,1,0,15,0,16+,800,Help wanted,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
,Corn,150,14 (regrow: 4),"50, 62, 75","55, 68, 82",1.78 (Summer); 7.14 (SUMMER & FALL) ,112,156,150,210,2,0,15,6 (5 gold),23+,3450,"Oil, Help wanted (fall)",-,"NOT Pierre, Abigail, Haley, Jas, Sam, Vincent"
