Custom Values,Values,,,,,,,
"Agriculturalist (0 If Not, 1 If Yes)",1,,,,,,,
Farming Level,10,,,,Crop Quality,No Fertilizer,Basic Fertilizer,Quality Fertilizer
"Tiller Profession (0 If Not, 1 If Yes)",1,,,,Gold Quality Prob,"0,21","0,41","0,61"
Number of Days,28,,,,Silver Quality Prob,"0,33","0,44","0,29"
"Tapper Profession (0 If Not, 1 If Yes)",0,,,,Normal Quality Prob,"0,46","0,15","0,10"
"Bought Fertilizer (0 If Not, 1 If Yes)",1,,,,Total Price Bonus %,"118,80","131,56","137,81"
"Old Fertilizer (1 If New, 0 If Reused from last season)",1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Single Crops,Seed Price,Growth Days,Sell Price,Normal,Speed-Gro,Deluxe Speed-Gro,Basic Fertilizer,Quality Fertilizer
Rhubarb,100,13,220,"11,20","7,63","13,94","8,83","7,64"
Cauliflower,80,12,175,"8,87","9,73","10,44","6,25","4,93"
Kale,70,6,110,"9,33","7,63","13,94","6,77","5,47"
Potato,50,6,80,"7,00","4,83","9,74","4,18","2,76"
Garlic,40,4,60,"8,40","4,83","9,28","5,73","4,39"
Parsnip,20,4,35,"6,30","2,73","6,24","3,41","1,95"
Blue Jazz,30,7,50,"3,73","1,10","2,74","0,56","-1,03"
Tulip,20,6,30,"2,33","-0,77","1,34","-0,99","-2,65"
,,,,,,,,
Multiple Crops,Seed Price,Growth Days,Sell Price,Normal,Speed-Gro,Deluxe Speed-Gro,Basic Fertilizer,Quality Fertilizer
Strawberry,100,8,120,"30,03","26,46","27,17","30,07","31,84"
Green Bean,60,10,40,"10,92","7,35","9,93","8,76","9,45"
