Custom Values,Values,,,,,,,
"Agriculturalist (0 If Not, 1 If Yes)",0,,,,,,,
Farming Level,0,,,,Crop Quality,No Fertilizer,Basic Fertilizer,Quality Fertilizer
"Tiller Profession (0 If Not, 1 If Yes)",0,,,,Gold Quality Prob,"0,01","0,04","0,08"
Number of Days,28,,,,Silver Quality Prob,"0,02","0,08","0,14"
"Tapper Profession (0 If Not, 1 If Yes)",0,,,,Normal Quality Prob,"0,97","0,87","0,78"
"Bought Fertilizer (0 If Not, 1 If Yes)",0,,,,Total Price Bonus %,"101,00","104,24","107,37"
"Old Fertilizer (1 If New, 0 If Reused from last season)",0,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Single Crops,Seed Price,Growth Days,Sell Price,Normal,Speed-Gro,Deluxe Speed-Gro,Basic Fertilizer,Quality Fertilizer
Melon,80,12,250,"12,26","12,26","18,40","12,66","13,04"
Poppy,100,7,140,"4,33","5,77","7,21","4,47","4,60"
Radish,40,6,90,"7,21","9,02","10,82","7,45","7,67"
Red Cabbage,100,9,260,"17,31","17,31","23,08","17,87","18,41"
Starfruit,400,13,750,"25,25","25,25","37,87","26,06","26,84"
Summer Spangle,50,8,90,"4,33","4,33","5,77","4,47","4,60"
,,,,,,,,
Multiple Crops,Seed Price,Growth Days,Sell Price,Normal,Speed-Gro,Deluxe Speed-Gro,Basic Fertilizer,Quality Fertilizer
Blueberry,80,13,150,"18,78","24,20","24,20","19,48","20,15"
Hops,60,11,25,"13,19","14,99","15,89","13,68","14,15"
Hot Pepper,40,5,40,"10,11","10,11","11,56","10,48","10,84"
Tomato,50,11,60,"9,04","9,04","9,04","9,38","9,72"
