,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Easiest love,,,,Easiest like,,,,
,,,,,,,,4,Jas,,"Fairy rose (year 2), pink cake",,,,"Coconut, daffodil, fruit tree fruits",,,,
,,,,,,,,8,Gus,,Orange,,,,"Daffodil, vegetables, artisan goods, fruit tree fruits",,,,
,,,,,,,,10,Maru,,"Cauliflower, strawberry",,,,"Vegetables, quartz, artisan goods, sweet pea",,,,
,,,,,,,,13,Alex,,"Complete breakfast, Salmon dinner",,,,"Eggs, Sweet pea, vegetables",,,,
,,,,,,,,17,Sam,,"Pizza (Saloon 600g), cactus fruit",,,,"Eggs, Joja cola, summer spangle",,,,
,,,,,,,,19,Demetrius,,"Strawberry, ice cream",,,,"All fruit (inc salmonberry), eggs (not void)",,,,
,,,,,,,,22,Dwarf,,"Amethyst, aquamarine, topaz",,,,"Dwarf scrolls, dwarvish helm, dwarf gadget, vegetables",,,,
,,,,,,,,24,Willy,,"Catfish, mead, pumpkin, sea cucumber, sturgeon",,,,"Lingcod, tiger trout, vegetables, artisan goods",,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Time,Location,Notes,,,,,,Money needed
,,,,,,,,11,Luau,,9am - 2pm,Beach,"Potluck soup (gold cauliflower, gold catfish, gold sturgeon)",,,,,,n/a
,,,,,,,,28,Dance of the moonlight jellies,,10pm - 12am,Beach,Nothing required,,,,,,n/a
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CROPS,,,,,,,,,,,,,,,,,,,
,Crop,Seed price,Days to grow,Sells for,Tiller profession,Profit/day (base),Keg,Artisan,Jar,Artisan,# for recipes,# for crafting,Polyculture,# for bundles,Total # needed,Total cost,Other needs,Loves,Likes
,Blueberry,80,13 (regrow: 4),"50, 62, 75 (x3)","55, 68, 82 (x3)",18.57 (28 days),150,210,150,210,2,0,15,1,18,1440,-,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Lewis, Linus, Pam, Robin, Sandy, Shane"
,Coffee Bean,"0 (dust sprite) 100-2,500 (traveling cart)",10 (regrow: 2),"15, 18, 22 (x4)",-,19.29 (-70 TC) [28 days]; SPRING & SUMMER,150,-,-,-,5,0,15,0,305,"0-2500 (2 seasons, 5 crops)",Monoculture (ship 300 of one crop),-,-
,Corn,150,14 (regrow: 4),"50, 62, 75","55, 68, 82",1.78 (Summer); 7.14 (SUMMER & FALL) ,112,156,150,210,2,0,15,6 (5 gold),23+,3450,"Oil, Help wanted (fall)",-,"NOT Pierre, Abigail, Haley, Jas, Sam, Vincent"
,Hops,60,11 (regrow: 1),"25, 31, 37","27, 33, 40",13.04 (28 days),300,420,100,140,0,0,15,0,15+,900,-,-,-
,Hot Pepper,40,5 (regrow: 3),"40, 50, 60","44, 55, 66",10 (28 days),120,168,130,182,2,0,15,1,19+,760,"George ""knee therapy"" (25 summer), Help wanted","Lewis, Shane","Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy"
